Accepted_SPNAME,CommonName.L,Duration.L,Habit.L,SizeNotes.L,WaterUse.L,SolpH.L,SoilDescription.L,UseWildlife.L,InterestingFoliage.L,FragrantFoliage.L,CommercialAvail.L,PropagationDescription.L,Plant.Type.M,Maintenance.M,Zone.From.M,Zone.To.M,Bloom.From.M,Bloom.To.M,Showy.E,Height.(feet).E,Lifespan.E,Growth.Form.E,Shape.and.Orientation.E,Fall.Conspicuous.E,Leaf.Retention.E,Soil.Moisture.E,Moisture.Use.E,Soil.Texture.E,Salt.Tolerance.E,Fertility.Requirement.E,Growth.Rate.E,Active.Growth.Period.E,Hedge.Tolerance.E,Resprout.Ability.E,Drought.Tolerance.E,Fire.Tolerance.E,Palatability.(Browsing/Grazing).E,Propagation.E,Pollinator.Value.E,Benefits.To.Pollinators.E,Pollinators.E,Native.Bees.(except.Bombus).E,Bombus.E,Honey.Bees.E,"Beetles,.Wasps,.Flies.E",Moths.E,Butterflies.E,Monarchs.E,Nesting.and.Structure.(Bees).E,Larval.Host.(Monarch).E,Larval.Host.(Butterfly).E,Larval.Host.(Moth).E,Larval.Species.(Lepidoptera).E,Hummingbirds.E,Bats.E,Wind.E,Plant.Type.E,Full Sun,Part Shade,Full Shade,Wet,Medium,Dry
Silphium mohrii,Mohr's Rosinweed,Perennial,Herb,Up to about 5 feet tall.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Silphium perfoliatum,"Cup Plant, Indian Cup",Perennial,Herb,Up to about 10 feet tall.,,,Wet to mesic soils. Will tolerate clay soil.,Attracts birds for seed.,,,yes,Most easily propagated by seed. Sow unstratified seeds in fall or stratified seeds in spring. Deep roots make it difficult to transplant but young offshoots from parent plant can be removed and planted.,Herbaceous perennial,Low,3.0,9.0,July,September,Yes,3–8,,,,No Color,Deciduous,Moist,,,,,Rapid,Summer,,No,Low,,,"Seed, Container",Very High,Adult Food; Larval Food; Nesting and Structure (Bees),"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Monarchs; Nesting and Structure (Bees); Larval Host (Moth)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,"Eucosma giganteana, Eucosma giganteana minorata, Papaipema silphii",,,,Herb (perennial),True,False,False,True,True,True
Silphium pinnatifidum,"Tansy Rosinweed, Prairie-dock",Perennial,Herb,Up to about 8 feet tall.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Silphium terebinthinaceum,"Prairie Rosinweed, Prairie Dock",Perennial,Herb,Up to about 8 feet tall.,,,Wet to mesic soils.,,,,yes,"Propagate by sowing seed sowing unstratified seed in fall or stratified seed in spring. If producing transplants, sow seed late in the season as the rapid",Herbaceous perennial,Low,4.0,8.0,July,September,Yes,,,,,,,"Moist, Dry",,,,,,,,,,,,,Very High,Adult Food; Larval Food; Nesting and Structure (Bees),"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Butterflies; Nesting and Structure (Bees); Larval Host (Moth); Hummingbirds",Yes,Yes,Yes,Yes,,Yes,,Yes,,,Yes,Papaipema silphii,Yes,,,Herb (perennial),True,False,False,True,True,False
Silphium trifoliatum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Simmondsia chinensis,"Jojoba, Goatnut, Quinine Plant, Coffeeberry",Perennial,Shrub,"Up to about 15 feet tall, often much shorter.",Low,,"Rocky or sandy, barren soils.",,,,yes,Propagation by seed is possible.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,False,False,True
Sisyrinchium albidum,White Blue-eyed Grass,Perennial,Herb,Up to about 15 inches tall.,,,,,,,,,,,,,,,Yes,,,,,,,"Moist, Dry",,,,,,,,,,,,,Medium,Adult Food,"Native Bees; Bombus; Beetles, Wasps, Flies",Yes,Yes,,Yes,,,,,,,,,,,,Herb (perennial),False,False,False,False,False,False
Sisyrinchium angustifolium,"Narrowleaf Blue-eyed Grass, Narrow-leaf Blue-eyed-grass, Bermuda Blue-eyed Grass, Blue-eyed Grass",Perennial,Herb,Up to about 18 inches tall.,Medium,,"Moist, poor to average soils",,,,yes,"Propagate by seed or division. Several dozen divisions can be expected from a mature, healthy specimen.",Herbaceous perennial,Medium,4.0,9.0,May,June,Yes,0.5–1,Short,Bunch,Erect,No Color,Deciduous,"Wet, Moist",Medium,,,Low,Moderate,"Spring, Summer",,No,Low,High,Low/Low,"Seed, Bare root, Bulb",High,Adult Food,"Native Bees; Bombus; Beetles, Wasps, Flies; Butterflies",Yes,Yes,,Yes,,Yes,,,,,,,,,,Herb (perennial),True,True,False,True,True,False
Sisyrinchium atlanticum,Eastern Blue-eyed Grass,Perennial,Herb,Up to about 20 inches tall.,,,Moist soils; usually sandy or rocky-acid.,,,,yes,"Propagate by seed or division. Several dozen divisions can be expected from a mature, healthy specimen.",,,,,,,Yes,,,,,,,"Wet, Moist",,,,,,,,,,,,,Medium,Adult Food,"Native Bees; Bombus; Beetles, Wasps, Flies",Yes,Yes,,Yes,,,,,,,,,,,,Herb (perennial),True,False,False,True,False,False
Sisyrinchium bellum,"Western Blue-eyed Grass, California Blue-eyed-grass",Perennial,Herb,Up to about 18 inches tall.,,,Various soils.,,,,yes,Easily grown from seeds sown in fall or from root divisions. Divide the clumps early in the spring just as the grass-like foliage is appearing. Plants from seed will flower the second year.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,False
Sisyrinchium bermudiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Sisyrinchium californicum,Golden Blue-eyed Grass,,Herb,Up to about 2 feet tall.,,,Moist to wet soils.,,,,yes,Propagate by seed or divisions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,True,False,False
Sisyrinchium campestre,"Prairie Blue-eyed Grass, White-eyed Grass",Perennial,Herb,Up to about 15 inches tall.,,,Sandy soils.,,,,,,Herbaceous perennial,Low,2.0,8.0,April,June,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False,True,True
Sisyrinchium idahoense,Idaho Blue-eyed Grass,,Herb,Up to about 18 inches tall.,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,True,False,False,False
Sisyrinchium micranthum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Sisyrinchium montanum,"Strict Blue-eyed Grass, Mountain Blue-eyed Grass, Common Blue-eyed Grass",Perennial,Herb,Up to about 20 inches tall.,,,Sandy soils.,,,,,,,,,,,,Yes,0.5–1.5,,,,,,"Wet, Moist",,,,,,,,,,,,,Medium,Adult Food,"Native Bees; Bombus; Beetles, Wasps, Flies",Yes,Yes,,Yes,,,,,,,,,,,,Herb (perennial),True,True,True,False,True,True
Sisyrinchium mucronatum,Needletip Blue-eyed Grass,Perennial,Herb,Up to about 16 inches tall.,,,"Sand, Loam",,,,,,,,,,,,Yes,,,,,,,"Wet, Moist",,,,,,,,,,,,,Medium,Adult Food,"Native Bees; Bombus; Beetles, Wasps, Flies",Yes,Yes,,Yes,,,,,,,,,,,,Herb (perennial),False,False,False,False,True,False
Sisyrinchium nashii,Nash's Blue-eyed Grass,Perennial,Herb,To about 18 inches in height.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Sisyrinchium pruinosum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Sium suave,"Hemlock Waterparsnip, Water Parsnip",Perennial,Herb,,,,,,,,,,Herbaceous perennial,Medium,3.0,9.0,July,September,,,,,,,,Wet,,,,,,,,,,,,,Very High,Adult Food; Larval Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Butterflies; Monarchs; Larval Host (Butterfly); Larval Host (Moth)",Yes,Yes,Yes,Yes,,Yes,Yes,,,Yes,Yes,"Agonopterix clemensella, Agonopterix nervosa, Depressaria cinereocostella, Papaipema birdi, Papilio polyxenes, Papilio polyxenes asterius",,,,Herb (perennial),True,True,False,True,True,False
Smallanthus uvedalia,Hairy Leafcup,Perennial,Herb,Up to about 10 feet tall.,Medium,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low,Larval Food,Larval Host (Moth),,,,,,,,,,,Yes,"Bucculatrix polymniae, Papaipema polymniae",,,,Herb (perennial),True,True,False,False,True,True
Smelowskia americana,American False Candytuft,,Herb,Up to about 10 inches tall.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Smilacina racemosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Smilacina stellata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Smilax bona-nox,"Sawbriar, Saw Greenbriar, Catbriar, Bullbriar, Stretchberry Vine",Perennial,Vine,Can grow into the tops of trees.,Medium,,,"The fruits of saw greenbrier are eaten by wood ducks, ruffed grouse, wild turkeys, fish crows, black bears, opossums, raccoons, squirrels, and many species of songbirds. White-tailed deer browse the foliage. Provides cover for small animals and birds.",,,,,,,,,,,No,4,Moderate,Thicket Forming,Climbing,No Color,Evergreen,"Moist, Dry",Medium,,,Low,Rapid,"Spring, Summer",Low,Yes,Medium,High,High/Low,"Seed, Container, Bare root",None Known,,,,,,,,,,,,,,,,,,"Vine, Shrub",True,True,True,False,True,True
Smilax glauca,Cat Greenbriar,Perennial,Shrub,Climbing stems up to about 15 feet long.,,,,,,,,,,,,,,,No,1,Long,Thicket Forming,Climbing,No Color,Evergreen,"Moist, Dry",Medium,,,Medium,Rapid,"Spring, Summer",Low,Yes,Medium,High,High/Low,"Seed, Container, Bare root",Medium,Adult Food; Larval Food,"Native Bees; Beetles, Wasps, Flies; Larval Host (Moth)",Yes,,,Yes,,,,,,,Yes,"Marmara smilacisella, Proleucoptera smilaciella",,,,"Vine, Shrub",True,True,True,False,False,False
Smilax herbacea,"Smooth Carrionflower, Carrionflower",Perennial,Vine,,,,"Clay, Loam, Sand","The bad-smelling flowers attract insects, especially carion flies, which serve as pollinators. (Niering)",,,,,,,,,,,No,,,,,,,"Wet, Moist, Dry",,,,,,,,,,,,,High,Adult Food; Larval Food,"Native Bees; Honey Bees; Beetles, Wasps, Flies; Butterflies; Larval Host (Moth)",Yes,,Yes,Yes,,Yes,,,,,Yes,"Acrolepiopsis incertella, Papaipema unimoda, Pseudogalleria inimicella",,,,"Vine, Herb (perennial)",False,True,False,False,True,False
Smilax hispida,,,,,,,,,,,,,Vine,Low,4.0,8.0,May,June,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True,True,False
Smilax laurifolia,Laurel Greenbriar,,Vine,"Climber, stems up to about 15 feet long.",High,,,,,,,,,,,,,,No,1,Long,Thicket Forming,Climbing,No Color,Evergreen,Wet,High,,,Medium,Rapid,"Spring, Summer",Low,Yes,Low,Medium,High/Medium,"Seed, Container, Bare root",None Known,,,,,,,,,,,,,,,,,,"Vine, Shrub",True,True,True,True,False,False
Smilax pseudochina,"Bamboo Vine, False China-root, Halberd-leaved Greenbrier, Long-stalked Greenbrier",,Herb,"Stems up to about 6 feet long, climbing.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Smilax pumila,"Sarsaparilla Vine, Wild Sarsaparilla, Dwarf Smilax, Dwarf Greenbriar",Perennial,Vine,Stems,Low,,"Poor, dry sands preferred",Fruits attract birds and mammals,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,True
Smilax rotundifolia,"Roundleaf Greenbriar, Common Greenbriar",Perennial,Shrub,"Stems climbing, up to about 20 feet long.",Medium,,,,,,,,,,,,,,No,1,Moderate,Single Crown,Climbing,No Color,Deciduous,"Wet, Moist, Dry",Medium,Medium,,Medium,Slow,Summer,,Yes,Medium,Low,Medium/Low,"Seed, Container, Bare root",Medium,Adult Food; Larval Food,"Native Bees; Beetles, Wasps, Flies; Larval Host (Moth)",Yes,,,Yes,,,,,,,Yes,"Ephestiodes infimella, Lymantria dispar, Peridroma saucia, Phosphila miselioides, Phosphila turbulenta, Phyprosopus callitrichoides, Proleucoptera smilaciella, Trichoplusia ni",,,,"Vine, Shrub",True,True,True,False,True,False
Smilax tamnoides,Bristly Greenbriar,,Shrub,"Stems climbing, up to about 25 feet long.",,,,,,,,,,,,,,,No,,,,,,,"Wet, Moist, Dry",,,,,,,,,,,,,High,Adult Food; Larval Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Larval Host (Moth)",Yes,Yes,Yes,Yes,,,,,,,Yes,"Acrolepiopsis incertella, Marmara smilacisella",,,,"Vine, Shrub",False,False,False,False,False,False
Smilax walteri,Coral Greenbriar,Perennial,Vine,"Stems climbing to clambering, up to about 20 feet long.",,,,,,,,,,,,,,,No,1,Long,Thicket Forming,Climbing,No Color,Evergreen,Wet,High,,,Medium,Rapid,"Spring, Summer",Low,Yes,Low,High,High/Medium,"Seed, Container, Bare root",None Known,,,,,,,,,,,,,,,,,,"Vine, Shrub",True,True,True,False,False,False
Solanum carolinense,"Carolina Horsenettle, Carolina Horse-nettle",Perennial,Herb,Up to about 3 feet tall.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Solanum citrullifolium,"Watermelon Nightshade, Melonleaf Nightshade",Annual,Herb,Up to about 2 feet tall.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Solanum lanceifolium,Lanceleaf Nightshade,,Subshrub,Up to about 6 feet tall.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Solanum wallacei,"Catalina Nightshade, Northern Island Nightshade, Wallace's Nightshade",Perennial,Herb,Up to about 3 feet tall.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Solidago altissima,"Tall Goldenrod, Late Goldenrod, Canadian Goldenrod, Canada Goldenrod",Perennial,Herb,Up to about 6 feet tall.,Medium,,"Moist to dry soils. Clay, Clay Loam, Medium Loam, Sandy Loam, Sandy, Caliche type",Attracts butterflies.,,,yes,Propagate by seed or division of clumps. Use only strong outer rhizomes when dividing.,,,,,,,Yes,5,Moderate,Rhizomatous,Erect,Color,Deciduous,Dry,Medium,,,Low,Rapid,"Spring, Summer, Fall",,No,Low,High,Low/Low,"Seed, Bare root, Sprig",Very High,Adult Food; Larval Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Monarchs; Larval Host (Moth)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,"Cremastobombycia solidaginis, Epiblema scudderiana, Gnorimoschema gallaesolidaginis, Melanchra adjuncta, Phaneta ochroterminana, Schinia nundina",,,,Herb (perennial),True,True,False,False,True,False
Solidago arguta,"Atlantic Goldenrod, Cutleaf Goldenrod, Sharpleaf Goldenrod",Perennial,Herb,To about 4 feet in height.,,,,,,,,,,,,,,,Yes,,,,,,,Dry,,,,,,,,,,,,,Very High,Adult Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies",Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,Herb (perennial),False,False,False,False,False,False
Solidago bicolor,"White Goldenrod, Silverrod",Perennial,Herb,Up to about 3 feet tall.,,,Sandy,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,Very High,Adult Food; Larval Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Larval Host (Moth)",Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes,Cremastobombycia solidaginis,,,,Herb (perennial),True,True,True,False,False,True
Solidago caesia,"Wreath Goldenrod, Blue-stemmed Goldenrod, Bluestem Goldenrod",Perennial,Herb,Up to about 3 feet tall.,Medium,,Various soils.,Blue-stemmed goldenrod attracts butterflies.,,,yes,May be grown from seed.,Herbaceous perennial,Low,4.0,8.0,August,September,Yes,1.5–3,Short,Rhizomatous,Erect,Color,Deciduous,"Moist, Dry",Medium,,,Low,Moderate,"Spring, Summer",,No,Low,High,Low/Low,"Seed, Sprig",Very High,Adult Food; Larval Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Larval Host (Moth)",Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes,"Coleophora duplicis, Cremastobombycia solidaginis, Dichomeris leuconotella, Gnorimoschema gallaeasterella",,,,Herb (perennial),True,True,False,False,True,True
Solidago californica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Solidago canadensis,"Canada Goldenrod, Canadian Goldenrod, Tall Goldenrod, Giant Goldenrod",Perennial,Herb,Up to about 6 feet tall.,Medium,,"Caliche type, Sandy, Sandy Loam, Medium Loam, Clay Loam, Clay.","Nectar-Bees, Nectar-Butterflies",,,,,Herbaceous perennial,Low,3.0,9.0,August,October,Yes,3–6,Long,Rhizomatous,Erect,No Color,Deciduous,"Moist, Dry",Medium,,,Medium,Rapid,"Spring, Summer",,No,Medium,High,Low/Low,"Seed, Bare root, Sprig",Very High,Adult Food; Larval Food; Nesting and Structure (Bees),"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Monarchs; Larval Host (Moth)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,"Bucculatrix magnella, Dichomeris ochripalpella, Epiblema scudderiana, Gnorimoschema gallaesolidaginis, Hellinsia homodactylus, Melanchra adjuncta, Schinia nundina, Synchlora aerata, Trichoptilus lobidactylus",,,,Herb (perennial),True,True,False,False,True,True
Solidago drummondii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Solidago elongata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Solidago erecta,Showy Goldenrod,Perennial,Herb,Up to about 4 feet tall.,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,Very High,Adult Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies",Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,Herb (perennial),False,False,False,False,False,False
Solidago fistulosa,"Pine Barren Goldenrod, Hollow Goldenrod",Perennial,Herb,Up to about 5 feet tall.,High,,,,,,,,,,,,,,Yes,6.5,Short,Rhizomatous,Erect,Color,Deciduous,"Wet, Moist",High,,,Low,Moderate,"Summer, Fall",,No,Low,,High/High,"Seed, Sprig",High,Adult Food,"Native Bees; Honey Bees; Beetles, Wasps, Flies; Butterflies; Monarchs",Yes,,Yes,Yes,,Yes,Yes,,,,,,,,,Herb (perennial),True,True,True,False,False,False
Solidago flexicaulis,"Zigzag Goldenrod, Broadleaf Goldenrod",Perennial,Herb,Normally 2 to 4 feet high.,Medium,Acidic (pH<6.8),"Various rich, mesic, acid soils. Tolerates lime.","Flowers attract butterflies. Seeds attract Swamp Sparrows, Pine Siskins, and Meadow Mice.",,,,Fresh seed or root division. will spread on its own.,Herbaceous perennial,Low,3.0,8.0,July,September,Yes,3,Short,Rhizomatous,Erect,Color,Deciduous,"Moist, Dry",Medium,Medium,,Medium,Moderate,"Spring, Summer, Fall",,No,Medium,High,Low/Low,"Seed, Bare root, Sprig",Very High,Adult Food; Larval Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Larval Host (Moth)",Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes,"Coleophora duplicis, Dichomeris bilobella, Dichomeris euprepes, Gnorimoschema gallaeasterella",,,,Herb (perennial),True,True,True,False,True,False
Solidago gigantea,"Giant Goldenrod, Smooth Goldenrod, Tall Goldenrod, Late Goldenrod, Early Goldenrod",Perennial,Herb,Up to about 6 feet tall.,Medium,,,,,,,,Herbaceous perennial,Low,3.0,8.0,August,October,Yes,3–5,Moderate,Bunch,Erect,Color,Deciduous,Moist,Medium,,,Medium,Moderate,Summer,,No,Medium,,Medium/,Seed,Very High,Adult Food; Larval Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Larval Host (Moth)",Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes,"Cremastobombycia solidaginis, Epiblema scudderiana, Gnorimoschema gallaesolidaginis",,,,Herb (perennial),True,True,False,True,True,False
Solidago graminifolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Solidago hispida,Hairy Goldenrod,Perennial,Herb,Up to about 3 feet tall.,,Alkaline (pH>7.2),,,,,,,Herbaceous perennial,Low,3.0,8.0,July,September,Yes,,,,,,,,,,,,,,,,,,,,Very High,Adult Food; Larval Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Larval Host (Moth)",Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes,Tischeria solidagonifoliella,,,,Herb (perennial),True,False,False,False,True,True
Solidago juncea,"Early Goldenrod, Plume Goldenrod",Perennial,Herb,Up to about 4 feet tall.,,,"Dry, sandy soils.",Attracts butterflies.,,,yes,"Plant seeds outdoors in fall or store, stratify and plant in spring.",Herbaceous perennial,Low,3.0,8.0,July,August,Yes,3–10,,,,,,"Moist, Dry",,,,,,,,,,,,,Very High,Adult Food; Larval Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Larval Host (Moth)",Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes,"Epiblema scudderiana, Tischeria solidagonifoliella",,,,Herb (perennial),True,True,True,False,True,True
Solidago lancifolia,Lance-leaf Goldenrod,,Herb,Up to about 5 feet tall.,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,Medium,Adult Food,Native Bees; Bombus,Yes,Yes,,,,,,,,,,,,,,Herb (perennial),False,False,False,False,False,False
Solidago lateriflora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Solidago leiocarpa,Cutler's Alpine Goldenrod,,Herb,Up to about 14 inches tall.,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,High,Adult Food,"Native Bees; Honey Bees; Beetles, Wasps, Flies; Butterflies",Yes,,Yes,Yes,,Yes,,,,,,,,,,Herb (perennial),False,False,False,False,False,False
Solidago lepida,Salebrosa Goldenrod,Perennial,Herb,Up to about 5 feet tall.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False,True,True
Solidago mexicana,Seaside Goldenrod,Perennial,Herb,Up to about 6 feet tall.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False
Solidago missouriensis,"Missouri Goldenrod, Prairie Goldenrod, Missouri Basin Goldenrod",Perennial,Herb,Up to about 32 inches tall.,Low,,Sandy or gravelly soils.,,,,yes,Sow seeds in fall or divide rhizomes in spring. Mature plants can be divided in spring or fall.,,,,,,,Yes,2–3,Short,Rhizomatous,Erect,Color,Deciduous,Dry,Low,,Low,Low,Moderate,"Spring, Summer, Fall",,No,High,High,Low/,"Seed, Bare root, Sprig",Very High,Adult Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies",Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,Herb (perennial),True,False,False,False,False,False
Solidago multiradiata,"Rocky Mountain Goldenrod, Northern Goldenrod, Alpine Goldenrod",Perennial,Herb,"Up to about 30 inches tall, often shorter.",,Alkaline (pH>7.2),Rocky soils.,,,,,,,,,,,,Yes,1,Short,Single Stem,Erect,No Color,Deciduous,"Moist, Dry",,Coarse,,Medium,,"Spring, Summer",Low,No,Low,,,,Very High,Adult Food; Larval Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Butterflies; Larval Host (Butterfly)",Yes,Yes,Yes,Yes,,Yes,,,,Yes,,Charidryas palla whitneyi,,,,"Shrub, Herb (perennial)",True,True,False,False,False,True
Solidago nemoralis,"Gray Goldenrod, Prairie Goldenrod, Oldfield Goldenrod, Grayleaf Goldenrod, Gray-leaved Goldenrod, Dyersweed Goldenrod, Dwarf Goldenrod, Field Goldenrod",Perennial,Herb,Up to about 3 feet tall.,Medium,,"Sandy, rocky soils. Sandy, Sandy Loam, Medium Loam, Clay Loam, Clay, Caliche type",Prairie goldenrod attracts butterflies.,,,yes,"Seed germination may be increased with stratification, but this pre-treatment is not absolutely necessary. If planting untreated seed, be sure it is fresh. May also be propagated by division of mature plants. Make sure each section has a",Herbaceous perennial,Low,3.0,9.0,August,September,Yes,1–2.5,Short,Rhizomatous,Decumbent,No Color,Deciduous,Dry,Medium,,Medium,Low,Rapid,"Spring, Summer",High,No,Medium,High,Medium/Medium,"Seed, Container, Cutting",Very High,Adult Food; Larval Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Monarchs; Larval Host (Moth)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,"Epiblema scudderiana, Synchlora aerata",,,,Herb (perennial),True,True,True,False,True,True
Solidago odora,"Anisescented Goldenrod, Anise-scented Goldenrod, Sweet Goldenrod",Perennial,Herb,Up to about 5 feet tall.,,Acidic (pH<6.8),"Average to poor, sandy soils.",,,,yes,Increase by division of mature clumps or by seed.,Herbaceous perennial,Low,4.0,9.0,August,September,Yes,2–3,,,,,,"Moist, Dry",,,,,,,,,,,,,Very High,Adult Food; Larval Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Monarchs; Larval Host (Moth)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,Lioptilodes parvus,,,,Herb (perennial),True,True,False,False,True,True
Solidago ohioensis,Ohio Goldenrod,Perennial,Herb,Up to about 3 feet tall.,,,,,,,,,,,,,,,Yes,,,,,,,Wet,,,,,,,,,,,,,Low,Adult Food,Native Bees,Yes,,,,,,,,,,,,,,,Herb (perennial),True,True,True,False,False,False
Solidago patula,Roundleaf Goldenrod,Perennial,Herb,Up to about 5 feet tall.,High,,"Clay, Sand, Loam",,,,,,,,,,,,Yes,6.5,Short,Rhizomatous,Erect,Color,Deciduous,Wet,High,,,Low,Moderate,Summer,,No,Low,,Medium/Medium,"Seed, Bare root",Very High,Adult Food; Larval Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Larval Host (Moth)",Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes,Cremastobombycia solidaginis,,,,Herb (perennial),True,True,True,True,True,False
